recipe_name,prep_time,cook_time,total_time,servings,ingredients,instructions,ingredient_names
Pork Afritada Recipe,10 minutes,1 hour,1 hour 10 minutes,4,2 lbs pork shoulder cubed | 1  Knorr Pork Cube | 3  hot dogs sliced | 2  carrots sliced into small wedges | 2  potato cube | 8 oz. tomato sauce | 3/4 cup green peas | 1  tomato cubed | 4  dried bay leaves | 1  onion chopped | 6 cloves garlic chopped | 3 cups water | 3 tablespoons cooking oil | Salt and ground black pepper to taste,"Heat oil in a cooking pot. | Once the oil gets hot, saute onion and garlic until onion softens. | Add pork Saute until brown. | Pour tomato sauce and water. Stir and let boil. | Add Knorr Pork Cube. Stir. Add dried bay leaves. Cover and cook in medium heat for 30 minutes. Note: Add more water if needed. | Add hotdogs. Cook for 10 minutes. | Add carrot and potato. Cover and cook for 8 minutes. | Add green peas. Cook for 3 to 5 minutes. | Season with salt and ground black pepper. | Transfer to a serving plate. Serve. | Share and enjoy!",pork | hot dog | carrot | potato cube | tomato sauce | green pea | tomato | dried bay leave
Ginataang Hipon Sitaw at Kalabasa,10 minutes,40 minutes,50 minutes,4,"1 lb shrimp cleaned | 10 strings beans sitaw, cut into 2 1/2 inch length | 2 cups kalabasa squash, cubed | 2 cups coconut milk | 1 medium yellow onion sliced | 2 tablespoons bagoong alamang shrimp paste | 1 cup malunggay leaves | 3 cloves garlic crushed | Salt and pepper to taste | 3 tablespoons cooking oil | Salt and pepper to taste","Heat oil in a cooking pot. | Saute the garlic and onion until the onion becomes soft. | Put-in the shrimp. Cook for 1 to 2 minutes. Remove from the pot and set aside. | Meanwhile, put-in the bagoong alamang and pour-in the coconut milk. Stir and let boil. | Add the kalabasa. Cook for 8 to 12 minutes or until tender. | Put the shrimp back in the pot. Stir and cook for a minute. | Add the string beans (sitaw) and malunggay leaves. Cook for 2 to 3 minutes. | Add salt and pepper to taste. | Transfer to a serving plate. Serve. | Share and enjoy!",shrimp | beans sitaw | kalabasa | coconut milk | shrimp paste shrimp paste shrimp paste | malunggay leave | salt and pepper
Bulalo Recipe,10 minutes,1 hour 50 minutes,2 hours,4,2 lbs beef shank | 1/2 cabbage whole leaf individually detached | 1 bundle bok choy | 2 cobs corn each cut into 3 parts | 2 Tablespoons whole peppercorn | 1/2 cup green onions cut unto 1 1/2 inch pieces | 1 onion | 34 ounces water | fish sauce to taste optional,"In a big cooking pot, pour in water and bring to a boil | Put-in the beef shank followed by the onion and whole pepper corn then simmer for 1.5 hours (30 mins if using a pressure cooker) or until meat is tender. | Add the corn and simmer for another 10 minutes | Add the fish sauce,cabbage, pechay, and green onion (onion leeks) | Serve hot. Share and Enjoy!",beef | cabbage whole leaf | bok choy | cobs corn | whole peppercorn | green onion
Pancit Palabok Recipe,10 minutes,35 minutes,45 minutes,6,500 grams rice noodles bihon | 2 tbsp cooking oil | 1/2 lb ground pork | 1 tbsp anatto powder | 3 cups pork broth | 1 piece shrimp bouillon | 6 tablespoons all-purpose flour | 2 tbsp fish sauce | 1/2 tsp ground black pepper | 1 cup pork belly boiled and sliced thinly  into small pieces | 4 ounces firm tofu fried and sliced into cubes | 1/2 cup tinapa flakes smoked fish | 1/2 cup chicharon pounded | 2 hard boiled eggs sliced | 1/2 cup cooked shrimps boiled or steamed | 1/4 cup green onion or scallions finely chopped | 3 Tablespoons toasted garlic | 2 lemons sliced (or 6 pieces calamansi),"Soak the rice noodles in water for about 15 minutes. Drain and set aside. | Cook the sauce by heating a saucepan. Pour-in the cooking oil. | When the oil is hot enough, put-in the ground pork and cook for about 5 to 7 minutes | Dilute the annato powder in pork broth then pour the mixture in the saucepan. Bring to a boil (If you are using anatto seeds, soak them first in 3 tbsp water to bring-out the color) | Add the shrimp cube and stir and simmer for 3 minutes | Add the flour gradually while stirring. | Add the fish sauce and ground black pepper then simmer until sauce becomes thick. Set aside. | Meanwhile, boil enough water in a pot. | Place the soaked noodles in a strainer (use metal or bamboo strainer) then submerge the strainer in the boiling water for about a minute or until the noodles are cooked. (make sure that the noodles are still firm) | Remove the strainer from the pot and drain the liquid from the noodles. | Place the noodles in the serving plate. | Pour the sauce on top of the noodles then arrange the toppings over the sauce. | Serve with a slice of lemon or calamansi. Share and enjoy!",rice noodles bihon | pork | anatto powder | pork broth | shrimp bouillon | all purpose flour | firm tofu | smoked fish | chicharon | hard boiled egg | cooked shrimp boiled | green onion | calamansi
Kalderetang Kambing (Goat Stew),10 minutes,1 hour,1 hour 10 minutes,4,"1 lb goat meat chevon, cubed | 1 tablespoon garlic minced | 1 onion minced | 3 tomatoes diced | 4 Thai chili optional | 1 cup tomato sauce | 3/4 cup bell pepper sliced | 6 tablespoon liver spread | 3/4 cup green olives optional | 1/2 cup vinegar | 1 carrot cubed | 1 potato cubed | 3 tablespoons cooking oil | 2 cups water | Salt and pepper to taste","Combine the vinegar, salt, and ground black pepper in a large bowl then marinate the goat meat for at least an hour (This should eliminate the gamey smell and taste of the meat) then separate the meat from the marinade. | Pour the cooking oil in a cooking pot or casserole and apply heat. | Saut the garlic, onion, and tomatoes | Add the marinated goat meat then cook until the color of the outer part turns light brown | Put-in the tomato sauce and crushed chili then allow to cook for 2 minutes | Add the water and allow to boil. Simmer for at least 45 minutes or until the meat is tender. | Add the liver spread and cook for 5 minutes (You may add water if the sauce seems to dry up) | Put-in the potatoes and carrots then simmer for 8 minutes. | Add the olives and bell pepper then simmer for another 5 minutes. | Add salt and pepper to taste. | Serve hot. Share and enjoy!",goat meat chevon | tomato | thai chili | tomato sauce | bell pepper | liver spread | green olive | carrot | potato | salt and pepper
Beef Mechado Recipe,10 minutes,1 hour 30 minutes,1 hour 40 minutes,6,3 cloves garlic crushed | 1 piece large onion sliced | 2 lbs beef chuck cubed | 8 ounces tomato sauce | 1 cup water | 3 tbsp cooking oil | 1 slice lemon with rind | 1 piece large potato sliced | 1/4 cup soy sauce | 1/2 tsp. ground black pepper | 2 pieces bay leaves laurel | salt to taste,"Heat cooking oil in a pan then saute the garlic and onion. | Put-in the beef and saute for about 3 minutes or until color turns light brown | Add the tomato sauce and water then simmer until the meat is tender. Add water as needed. Note this can take 60 to 120 minutes depending on the quality of the beef. | Add the soy sauce, ground black pepper, lemon rind, laurel leaves, and salt then simmer until excess liquid evaporates | Put-in the potatoes and cook until the potatoes are soft | Place in a serving plate then serve hot with rice. Share and Enjoy!",chuck | tomato sauce | lemon | potato | laurel
Ginisang Ampalaya (Sauteed Bitter Melon),10 minutes,20 minutes,30 minutes,4,2 pieces ampalaya cleaned and cut into thin slices | 1 tbsp garlic minced | 1/2 tsp ground black pepper | salt to taste | 2 raw eggs | 18 ounces luke warm water | 1 tomato sliced | 1 onion sliced | 3 tbsp cooking oil,"Place the ampalaya in a large bowl | Add salt and lukewarm water then leave for 5 minutes | Place the ampalaya in a cheesecloth then squeeze tightly until all liquid drips | Heat the pan and place the cooking oil | Saute the garlic, onion, and tomato | Add the ampalaya mix well with the other ingredients | Put-in salt and pepper to taste | Beat the eggs and pour over the ampalaya then let the eggs cook partially | Mix the egg with the other ingredients | Serve hot. Share and Enjoy!",ampalaya | raw egg | luke warm water | tomato
Laswa Recipe,5 minutes,25 minutes,30 minutes,6,8 pieces shrimp cleaned | 2 pieces Chinese eggplant sliced | 1 1/2 cups kalabasa squash diced | 15 pieces string beans cut into 2 inch pieces | 1 cup saluyot leaves | 2 cups alugbati | 1 cup Amaranth leaves (kulitis) | 8 pieces okra | 2 pieces tomato wedged | 1 piece onion wedged | 2 teaspoons bagoong alamang or guinamos | 5 cups water | Salt and ground black pepper to taste,"Boil water in a cooking pot. | Add onion and tomato. Cover and boil for 5 minutes using medium heat. | Add kalabasa and bagoong alamang. Boil for 5 minutes. | Add eggplant, string beans, and okra. Cook for 4 to 5 minutes. | Put shrimp into the pot. Cover and cook for 1 minute. | Add saluyot, amaranth leaves (kulitis), and alugbati. Stir. | Season with salt and ground black pepper. Serve with fried fish on the side. Share and enjoy!",shrimp | chinese eggplant | kalabasa | sitaw | saluyot | alugbati | amaranth | okra | tomato | shrimp paste shrimp paste
Tortang Talong Recipe,15 minutes,12 minutes,27 minutes,4,4 pieces Chinese eggplant | 2 pieces raw eggs | 1 teaspoon salt | 6 tablespoons cooking oil,Grill the eggplant until the color of skin turns almost black | Let the eggplant cool for a while then peel off the skin. Set aside. | Crack the eggs and place in a bowl | Add salt and beat | Place the eggplant on a flat surface and flatten using a fork. | Dip the flattened eggplant in the beaten egg mixture | Heat the pan and pour the cooking oil | Fry the eggplant (that was dipped in the beaten mixture). Makes sure that both sides are cooked. Frying time will take you about 3 to 4 minutes per side on medium heat.,chinese eggplant | raw egg
Ginisang Munggo (Monggo),10 minutes,1 hour,1 hour 20 minutes,6,1 1/2 cups Mung beans | 1 tbsp garlic | 1/2 lb pork thinly sliced | 2 cups spinach (or alugbati) | 1 piece  tomato chopped | 1 piece onion chopped | 8 pieces shrimp optional | 2 tablespoons fish sauce | 24 ounces water for boiling | 1 piece Knorr beef cube for flavoring | 1/2 cup crushed pork rind chicharon | 1/4 teaspoon ground black pepper,"In a pan, put-in the water and bring to a boil | Put-in the Mung beans and simmer until becomes soft (about 35 to 50 minutes) | On a separate pan, saut the garlic,onion, and tomato | Add the pork. Cook for 5 mins | Put-in the beef cube and fish sauce. Simmer for 10 mins or until the meat is tender. Note: If necessary, you may add water to help make the meat tender but make sure to add more time to simmer | Add the shrimp. Stir and then cook for 2 minutes. | Pour the cooked Mung beans. Stir and then simmer for 10 minutes | Add the spinach and pork rinds (chicharon) | Sprinkle the ground black pepper | Serve hot. Share and Enjoy!",mung bean | pork | alugbati | tomato | shrimp | crushed pork rind chicharon
Pork Menudo Recipe,10 minutes,1 hour,1 hour 10 minutes,6,2 lbs. pork | 1/4 lb. pig liver | 1 cup potatoes diced | 1 piece carrot cubed | 1/2 cup soy sauce | 1/2 piece lemon | 1 piece onion chopped | 3 cloves garlic minced | 1 teaspoon sugar | 3/4 cup tomato sauce | 1 cup water | 4 pieces hotdogs sliced diagonally | 2 tablespoons cooking oil | 2 to 3 pieces dried bay leaves |  Salt and pepper to taste,"Combine pork, soysauce, and lemon in a bowl. Marinate for at least 1 hour. | Heat oil in a pan | Saute garlic and onion. | Add the marinated pork. Cook for 5 to 7 minutes. | Pour in tomato sauce and water and then add the bay leaves.Let boil and simmer for 30 minutes to an hour depending on the toughness of the pork. Note: Add water as necessary. | Add-in the liver and hot dogs.Cook for 5 minutes. | Put-in potatoes, carrots, sugar,salt, and pepper. Stir and cook for 8 to 12 minutes. | Serve. Share and enjoy!",pork | pig liver | potato | carrot | lemon | tomato sauce | hotdog | dried bay leave | salt and pepper
Pork Caldereta Recipe,5 minutes,1 hour,1 hour 5 minutes,5,2 lbs. Pork sliced into cubes | 1 piece Knorr Pork cube | 8 oz. tomato sauce | 3/4 cup green olives | 1 piece red bell pepper sliced | 1 piece green bell pepper sliced | 2 pieces potatoes cubed | 2 pieces carrot sliced | 1 piece onion chopped | 3 cloves garlic chopped | 1 1/2 cups water | 1/2 cup liver spread | 3 tablespoons cooking oil | Salt and ground black pepper to taste,"Heat the oil in a cooking pot. | Once the oil gets hot, saute the garlic and onion. | Add the pork. Saute until the color turns light brown. | Pour-in the tomato sauce and water. Let boil. Cover and cook in low heat  for 60 minutes. | Add the liver spread. Stir and cook for 3 minutes. | Put-in the potato and carrot.  Cover and cook for 8 to 10 minutes. | Add the olives and bell peppers. Cook for 5 minutes. | Season with salt and ground black pepper. | Turn-off the heat. Transfer to a serving plate. | Serve. Share and enjoy!",cubes | tomato sauce | green olive | bell pepper | potato | carrot | liver spread
Nilagang Baka Recipe,10 minutes,1 hour 12 minutes,1 hour 22 minutes,6,2 lbs. beef sirloin cubed | 2 bunches  baby bok choy or pechay | 1 piece  cabbage | 6 pieces Saba banana halved | 4 pieces baking potato quartered | 1 piece  white onion halved | 4 staks celery  chopped | 1 piece star anise optional | 4 cups beef broth | 4 cups water | Salt and pepper to taste,"Combine the water and beef broth in a large cooking pot. Bring to a boil. | Add the onion, star anise, and celery. Reduce the heat in medium. Cover the pot and continue to boil for 20 minutes. | Remove the onion, star anise, and celery from the boiling liquid using a skimmer or a strainer. You can discard these ingredients. | Add the beef. Simmer for 60 to 90 minutes or until the beef becomes tender. You can add more water if necessary. | Put-in the saba banana and potatoes. Cook for 10 minutes. | Add the bok choy and cabbage. Sprinkle salt and pepper. Stir. | Cover and turn the heat off. Let the pot stay with cover-on for 2 to 5 minutes to cook the vegetables. | Transfer to a serving bowl. | Serve. Share and enjoy!",beef | baby bok choy | cabbage | saba banana halved | potato | onion halved | staks celery | star anise | beef broth | salt and pepper
Chicken Afritada Recipe,5 minutes,45 minutes,50 minutes,4,1 1/2 lbs. Chicken cut into serving pieces | 2 piece potato cubed | 1 piece carrot sliced | 8 oz. tomato sauce | 3 pieces hotdog sliced | 1/2 cup green peas | 3 pieces bay leaves | 1 piece red onion chopped | 2 teaspoons garlic minced | 3 cups chicken broth | 1/2 teaspoon sugar | 3 tablespoons cooking oil | Salt and ground black pepper to taste,Heat the oil in a cooking pot. Saute onion and garlic until the onion softens. | Add chicken. Cook for 30 seconds. Turn it over and cook the other side for another 30 seconds. | Pour tomato sauce and chicken broth. Cover. Let boil. | Add dried bay leaves. Cover the cooking pot. Continue to cook in medium heat for 30 minutes. | Add hotdogs and carrot. Cook for 3 minutes. | Add potato. Cover the pot and cook for 8 minutes. | Add green peas. Cook for 2 minutes. | Season with salt and ground black pepper | Serve!,chicken | potato | carrot | tomato sauce | hotdog | green pea | bay leave | chicken broth
Bicol Express Recipe,5 minutes,55 minutes,1 hour,6,2 lbs. pork belly sliced into strips | 2 cups coconut milk | 2 cups  coconut cream | 1/4  cup shrimp paste or salted Krill | 5 cloves garlic crushed | 5 pieces Thai chili pepper chopped | 2 thumbs ginger minced | 1 piece onion chopped | 2 pieces Serrano pepper sliced | 1  cup water optional | 8  grams Maggi Magic Sarap,"Combine pork, ginger, garlic, onion, Thai chili pepper, long green pepper, and coconut milk in a pan. Mix well. Cover the pan and turn the heat to on. Let the mixture boil. | Stir and adjust the heat to low. Cover and simmer for 50 minutes. Note: add water as necessary | Add the remaining coconut cream and bagoong alamang (as needed). Season with Maggi Magic Sarap.  Continue cooking in low heat until the sauce thickens (around | Transfer to a serving plate and serve with warm rice.",pork | coconut milk | coconut cream | thai chili pepper | thumbs ginger | serrano pepper
Chop Suey,10 minutes,30 minutes,40 minutes,4,7 pieces shrimp cleaned and deveined | 3 ounces pork sliced | 3 ounces boneless chicken breast sliced | 1 1/2 cup cauliflower florets | 1 piece carrot sliced crosswise into thin pieces | 15 pieces snow peas | 8 pieces baby corn | 1 piece red bell pepper sliced into squares | 1 piece green bell pepper sliced into squares | 1 1/2 cups cabbage chopped | 12 pieces quail eggs boiled | 1 piece yellow onion sliced | 4 cloves garlic crushed | 1/4 cup soy sauce | 1 1/2 tablespoons oyster sauce | 3/4 cup water | 1 tablespoon cornstarch diluted in 1/2 cup water | 1/4 teaspoon ground black pepper | 3 tablespoons cooking oil,"Heat oil in a wok or pan. | Pan fry the shrimp for 1 minute per side. Remove from the wok. Set aside. | Saute onion. Add garlic and continue to saute until the onion becomes soft. | Add pork and chicken. Stir fry until light brown. | Add soy sauce and oyster sauce. Stir. | Pour water. Let boil. Cover and cook in medium heat for 15 minutes. | Add cauliflower, carrots, bell peppers, snow peas, and young corn. Stir. | Add cabbage. Toss. Cover and cook for 5 to 7 minutes. | Put the pan-fried shrimp into the pot and add ground black pepper. | Add the boiled quail eggs and cornstarch diluted in water. Toss. | Transfer to a serving plate. Serve. | Share and enjoy!",shrimp | pork | chicken | cauliflower floret | carrot | snow pea | baby corn | bell pepper | cabbage | quail egg | oyster sauce | cornstarch
Adobo Fried Rice,5 minutes,15 minutes,20 minutes,4,1 cup pork adobo see note 1 | 4 cups white rice  see note 2 | 1 head  garlic crushed and chopped | Salt and ground black pepper | 1/4 cup green onion chopped | 3 tablespoons cooking oil,Heat oil in a pan. | Add garlic. Cook until it starts to brown. | Add pork adobo. Stir. Cook for 1 minute. | Put-in the rice. Cook in medium heat for 3 to 5 minutes while gently tossing every minute to prevent the rice from sticking to the pan. | Season with salt and ground black pepper. | Add green onions. Toss. | Transfer to a serving bowl. Serve. Share and enjoy!,pork adobo | white rice | green onion
Pinakbet Tagalog,5 minutes,35 minutes,40 minutes,4,1 lb lechon kawali sliced | 1 piece Knorr Shrimp Cube | 12 pieces sitaw cut into 2 inch length | 1/2 piece kalabasa cubed | 12 pieces okra | 1 piece Chinese eggplant sliced | 1 piece ampalaya sliced | 1 piece kamote cubed (optional) | 2 pieces tomato cubed | 2 thumbs ginger crushed (optional) | 1 piece onion chopped | 4 cloves garlic crushed | 2 teaspoons bagoong alamang | 2 1/2 cups water | 3 tablespoons cooking oil | 1/4 teaspoon ground black pepper,"Heat cooking oil in a pot. Saute onion and garlic. Add ginger and continue to cook until the onion softens. | Add lechon kawali. Saute for 1 minute. | Pour water. Let boil. | Add Knorr Shrimp Cube. Cover the pot and cook in medium heat for 20 minutes. | Add tomato and bagoong alamang. Stir. Cover the pot. Cook for 3 minutes. | Put the kalabasa and kamote into the pot. Cook for 7 minutes. | Add sitaw, okra, ampalaya, and eggplant. Stir. Cover the pot and cook for 5 minutes. | Season with ground black pepper and add remaining lechon kawali. Cook for minutes. | Tranfer to a serving plate. Serve. Share and Enjoy!",lechon kawali | length | kalabasa | okra | chinese eggplant | ampalaya | kamote | tomato | thumbs ginger | shrimp paste shrimp paste
